LConn,LLen,LFrac,LAC,LSin,LBear,MHDn,NQPDHn,BtHn,TPBtHn,Lnkn,Lenn,AngDn,MGLHn,MCFn,MI,MWPR,MPMR,MNOR,MBCR,MNAR,MCAR,MFAR,HOLC Value
1,0.100786,0.916169,174.389298,1.001075,35.892403,63.392056,0.016447,0.356592,0.356592,2,0.110008,189.081085,0.03539,0.035348,89589.49598,0.553817,7,10,1,0.001458,0.080426,0.000065,3
1,0.100786,0.916169,174.389298,1.001075,35.892403,63.392056,0.016447,0.356592,0.356592,2,0.110008,189.081085,0.03539,0.035348,89589.49598,0.553817,7,10,1,0.001458,0.080426,0.000065,3
1,0.100786,0.916169,174.389298,1.001075,35.892403,63.392056,0.016447,0.356592,0.356592,2,0.110008,189.081085,0.03539,0.035348,89589.49598,0.553817,7,10,1,0.001458,0.080426,0.000065,3
1,0.100786,0.916169,174.389298,1.001075,35.892403,63.392056,0.016447,0.356592,0.356592,2,0.110008,189.081085,0.03539,0.035348,95203.07188,0.516456,7,10,8,0.00598,0.046268,0.000065,3
1,0.100786,0.916169,174.389298,1.001075,35.892403,63.392056,0.016447,0.356592,0.356592,2,0.110008,189.081085,0.03539,0.035348,95203.07188,0.516456,6,10,8,0.00598,0.046268,0.000065,3
1,0.100786,0.916169,174.389298,1.001075,35.892403,63.392056,0.016447,0.356592,0.356592,2,0.110008,189.081085,0.03539,0.035348,95203.07188,0.516456,6,10,8,0.00598,0.046268,0.000065,3
1,0.100786,0.916169,174.389298,1.001075,35.892403,63.392056,0.016447,0.356592,0.356592,2,0.110008,189.081085,0.03539,0.035348,95203.07188,0.516456,6,10,8,0.00598,0.046268,0.000065,3
1,0.100786,0.916169,174.389298,1.001075,35.892403,63.392056,0.016447,0.356592,0.356592,2,0.110008,189.081085,0.03539,0.035348,36777.41018,0.069571,6,8,1,0.136032,0.070601,0.000078,3
1,0.100786,0.916169,174.389298,1.001075,35.892403,63.392056,0.016447,0.356592,0.356592,2,0.110008,189.081085,0.03539,0.035348,36777.41018,0.069571,6,8,1,0.136032,0.070601,0.000078,3
1,0.100786,0.916169,174.389298,1.001075,35.892403,63.392056,0.016447,0.356592,0.356592,2,0.110008,189.081085,0.03539,0.035348,47572.8006,0.231595,8,9,5,0.022277,0.039602,0.000069,3
1,0.100786,0.916169,174.389298,1.001075,35.892403,63.392056,0.016447,0.356592,0.356592,2,0.110008,189.081085,0.03539,0.035348,36777.41018,0.069571,6,8,1,0.136032,0.070601,0.000078,3
1,0.100786,0.916169,174.389298,1.001075,35.892403,63.392056,0.016447,0.356592,0.356592,2,0.110008,189.081085,0.03539,0.035348,47572.8006,0.231595,9,9,5,0.022277,0.039602,0.000069,3
